content_final,score
problem until 4 month ago no matter solution try help desk cant resolve error code 83 nearly decade old ps4 run no problem infuriating their solution seems use another device got brand new phone 2 day ago have been able to log because the issue when they admit their app failing their end just fix,0
cant launch application the update cannot use service i paying back everything on netflix it worked,0
app never work properly lag like crazy dont reccoment,0
keep crashing freezing downloads,0
do want like but app refuse load since 3rd episode obi streaming app doesnt work my device respectfully disney please stop assuming the wifi connection not app specifically would love come back it work though remember the early day netflix a lot buffering issue im sure your problem temporary hang there,0
traaaaash,0
appalling app incredibly high battery usage failure connect both 5g4g wifi complaint every user atrocious a paid service,0
cant even open app,0
app wont start regardless many time uninstall and reinstall,0
app keeping crashing is impossible watch anything tried everything help suggested still nothing problem still seems common problem you going sort ,0
kid want watch show,0
app not get past loading screen even im connected wifi,0
newest update had app fail android device way go lad uninstalling cancelling subscription thumbsup ,0
wont connect tv constantly log about cancel,0
app not work clear data cleared system cache still app not load also reinstalled app not work android galaxy a52 since latest update just freeze,0
whenever try watch something doesnt load like paying something cant use dont know it android it need be fixed,0
doesnt work say service available your location,0
awful customer service terrible company everything these idiot bad make near impossible communicate help any real way repeating same question nothing stalling worst customer service ive ever the mispleasure experiencing,0
downloaded show movie watch offline it wouldnt display play audio my tv hdmi reinstalled app lost everything to find the same outcome galaxy j2,0
terrible have 400 meg internet it lag opening film so buggy,0
cant open app couple day some reason cancelling subscription,0
lgbt a choice hate humanity stop,0
horrible,0
 thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown ,0
app nothing,0
app wont load do see anything,0
didnt spider man,0
app wont open load review staying same get sorted already,0
a trash,0
propaganda,0
dont force to watch homosexuality facewithsymbolsonmouth poutingface ,0
suck,0
slow show many error netflix work fine,0
wont startup samsung phone uk have galaxg a90 5g galaxy note 20 ultra 5g wont work app start see logo disney not going next screen log ,0
i cancelled subscription continued charge you call to actually cancel it take long time the phone,0
dont usually write review this app been broken long i remember when made a company big a disney only excuse lazyness you skip end epised next one show loading bar the whole time is null reference error constantly token error hardly remembers episode im just the whole experience is sub par compared to every streaming service,0
dont get wrong disney boatload content enjoy however app really faulty sometimes i watch a movie constantly buffer of nowhere internet router is fine come streaming movie show the app doesnt seem read connection guess it go show disney care little u android user,0
app getting frozen possible play something,0
is opening still loading,0
gonna resubscibe not reading review thanks people,0
lag lot when ever trying watch movie first 10 minute good after lag i need restart and thats i am giving it a 1 star,0
app would better allowed to download stuff even i wifi it just say download queued hour doesnt change than it fine ig,0
app wont let log stopped working they made profile change tried logging repull profile try get switching work havent able get app open since app updated today high hope still getting error 83 trying log seems continuous issue since update made to the profile,0
matter many time tried closing reopening app wont launch,0
first time app downloaded and cant even open the app been loading 20 minute,0
loading issue app never work,0
app not load,0
crash even youre trying open setting downloading moviesseries hassle download app slowdown much you cant even use didnt realize wa of downloaded movie first time uninstalled app two time downloaded app that wa smooth butter the moment downloaded movie slows and crash guess wa expecting much i wanted a smooth working app a company like disney,0
doesnt work,0
inappropriate content,0
app doesnt open anymore,0
bad made account tv then put exact email password it didnt work first thought made mistake typing my email password 10 time enough had a problem right after opening app,0
lgpt,0
incorporating everything lgbt kid show wrong,0
cant pay bill bc app wont load,0
doesnt allow access you use on device please fix,0
app wont load have tried restaring phone the app nothing worked just got disney upset this app please better ,0
app is dramatic chrome casting fails 2 time 3 joke option skip intro series bad ui addition many small thing 20seconds between episode stop end the app put you back the credit the following use of it bad will cancel subscription soon disney please learn the netflix app,0
app doesnt work android,0
cant open,0
made e download thinking could log new tv,0
fix god damn app tried connect tv phone broke entire app can longer login my phone computer piss off a multi billion dollar company an app break completely tried to connect to a tv it say it support yes tried restarting uninstall reinstall ect i tried everything it wa always stuck on the loading screen,0
lost subscription the big outtage now trouble getting back,0
downloaded movie dont work screen go black eventually get error message saying something went wrong,0
would never open,0
horrible app cant kronk ad profile picture,0
content fine disney app is horrible ha crashed phone many time it phone thats problem lot my issue seem be the downloads long time my downloads wouldnt download were stuck 0 finally got work now try play download any show all get stuck will load here i am deleting reinstalling the app leaving a bad review i need to vent,0
first android app would download content not play anything recovered i tried playing something my pc browser one week later the app again cant play anything,0
justice4johnny,0
doesnt even go past first loading screen even letting try log my account,0
app not open,0
bad app thumbsdown thumbsdown ,0
add subtitle like arabic also add app the middle east bec cant use vpn,0
barely usable app crash constantly multiple device dont even bother trying download something watch offline never load ive tried removing reinstalling the thing happens it isnt device i no issue downloading watching thing netflix amazon,0
are going fix app paying service cant even use is theft option watch you get a loading screen hour disgusting,0
app doesnt open,0
waiting month bug fix nothing still app fundamentally wont even load get stuck the loading screen people cant watch content paid fix,0
even though allowed uae still working saying the service is unavailable my country,0
app doesnt launch all even rebooting device,0
alot gay lesbian content hate,0
terrible lag loading picture the film even slower load even im a strong 5g network app claim im offline,0
is app accepting pin not loading all saying make sure is still connection witch is soet out now,0
is go app kiddos myself for last 3 4 day ive nothing trouble app wont load past the opening screen my apps work fine ive deleted reinstalled nothing cleared cache nothing please fix,0
longer casting my samsung,0
political woke garbage,0
wont log always waiting,0
used work great broke the start july theyre no rush fix it i hope have pc use disney because dont care this app all,0
just stuck the loading screen,0
gay ppl,0
wont even let download,0
simply doesnt work cant pas the loading screen used work fine latest update,0
doesnt work,0
used work perfectly now im stuck the loading screen wont move,0
pathetic app cannot get along google play disney app be like netflix independent,0
glitch everytime run an episode two a show weirdly only seems be one watch most simpson saying ha anything do the show seems like specifically doesnt perform the one watch nightly it ha become basically unwatchable im ending subscription confusedface ,0
cant ever get to load my phone very annoying,0
didnt make payment my subscription got hold i tried hard trying make payment the app disney didnt let,0
app stopped working will freeze loading screen disney better get fixed not charge the subscription fixed,0
app garbage downloaded three show my samsung phone watch on couple flight select one downloaded item screen go black just sits eventually get buffering circle nothing else lost 10 percent my charge 10 minute trying trouble shoot tried once had 5g cell service the hotel the result i tried delete the movie surprise wont let do even,0
cannot get app work my tv please cancel return my money,0
crash routinely,0
itk,0
very good app keep going circle not opening app please fix problem,0
well had great collection movie series the app either freeze flat crash every 5 minute,0
wont work,0
full disgusting child molester propaganda,0
app wont even load,0
open app is loading it doe work all frustrating havnt able get onto app my phone quite time yet i can get the app my tv problem,0
unstable cant even open the app anymore,0
downloaded app wont start is 3rd time i try,0
have temporary fix app please read here got work my phone 1 dont bother app 2 use web browser instead i use samsung internet browser 3 make sure browser setting set display desktop site will trick website thinking you using laptoppc 4 sign disney you be able watch video without issue the layout a bit different work fine drop menu to change desktop display,0
bisexual problem,0
great a day ago it wont load movie click ive tried restarting phone logging back reinstalling app even called phone service see it wa on end netflix paramount hulu and youtube work without problem im left assume the app,0
cant even open my s20,0
stuck loading screen android cant imagine a poor experience disney,0
pedo corporation love groom kid would stay away,0
veey bad all lgbtq thats disaster facevomiting ,0
not open,0
one star your company forcing subscriber downloading app watch video,0
doesnt work mobile installed aplication it doesnt work a rotating circle,0
app say service available my location i access chrome browser,0
cast icon disappears every and and nothing do get back a pain,0
many 1 2 star review recently also past week even able load app galaxy tab phone just freezing intro screen notice disney collecting my subscription fee bang time though im sure will no compensation free month me not being able access the content am paying clearly there problem android mobile device maybe time cancel try paramount plus instead,0
wont load,0
edit you say anything did restart reinstall close reopen whole 9 yard horrible app ui great all crash every update almost every time use it this probably wont change mind youre honestly better with netflix hulu,0
doesnt work anymore a forced update please stop political work spend time pleasing paying customer,0
content would great app would decent enough display downloaded lot video a trip outside country surprisenone them work or without internet connection even being back home moreover the app crash whenever i try start one them offer feedback so ever restarted tablet reset setting logged and switched profile tried all really really stupid app,0
is working,0
doe contain arabic translation european country,0
im stuck the starting loading screen am even able get the app confirm age allow to watch other device even though ive paid a subscription a waste money time,0
pathetic otp experience need enter otp everytime login laptop then otp call back option not work seems like guy went overboard trying over protect multi use another example user uxui made developer sadly,0
doesnt load please fix,0
frustrating app paying the nose such a restricted app little option scheduling barely better the old terrestrial day,0
stupid thing keep crashing i never even able sign because just kept crashing and again,0
using samsung s21 unable get past loading screen,0
doesnt open my samsung tab 7 longer show logo loading ring age can access browser version fine,0
woke garbage keep away ur kid,0
literally subscribed could watch disney original like ducktales gravity fall etc theyre part my childhood i wanted watcu again theyre available one that are available not even full season,0
ridiculously hard view xbox playstation sits screen number on say will done automatically doesnt even though on internet sometimes not clever try and be clever,0
doesnt load,0
