content_final,score
is amazing,0
nice,0
facebook doch chkea crash lhot,0
bjw ව ව ද ඹ ව ව w w,0
is app authentication code generate,0
poor people best apss,0
facebook id problem please help,0
is very bad apps want give 0 star ni way,0
ok,0
banning account without reason let shift twitter leave bulshitt app,0
facebook account been disabled cant use facebook messenger your account activity it didnt follow community standard have already reviewed decision it cant reversed learn about reason we disable account visit community standard go community standard hunter log here english uk ह न द न प ल español please help loudlycryingface facebook time facebook,0
beautiful redheart smilingfacewithhearteyes redheart ,0
utterly depressing,0
miss kona sya,0
manish,0
গ ধ,0
dont want new update cant see story,0
pending restraint order murderattempted murder case bot all law global local state command dispatching order recieving recording illegal policy using medical auto assistance past present possible future unable deter reciprocate asking next step regard safety measure,0
russia attack ukraine killing civilian woman child moderator ukrainian content in moscow 1100 totally recommended,0
app filled bug unsecure share personal information nothing ad anymore no control then you value privacy stick web version avoid app email spam folder now empty daily since deleted app use the web version,0
kafir,0
ramjeet singh,0
app getting big phone not like notepadsdesktop so much diskspace the app is huge cannot install suggest allow using sd card storage dual sim phone use not internal storage,0
tt,0
want nearby friend my phone,0
updated my feed in random order cant view sort recent button used be the top,0
login error please fix problem,0
good,0
sir facebook account temporarily suspended without reason sir follow facebook community standard rule sir please solve problem soon possible,0
much bug error still manage secure info,0
vryi nice apps facebook,0
most harmful misleading application the planet,0
cant instal,0
a bussiness,0
hhajhbeknnemmwu,0
time killer,0
123nandhu,0
nice gane,0
worst app update,0
yadav,0
last update cant see post video,0
u deleated fetrah page twice fetrah facebook not fair,0
op,0
fudu app,0
 angryface angryface angryface angryface angryface ,0
facebook useless are disabled facebook account every day,0
ysc,0
nice,0
 winkingfacewithtongue ,0
trouble app state havent logged i then cant log back or,0
wow,0
worst social medium ever,0
latest update not comfortable use ,0
rasist,0
facebook rapidly getting swallowed reel honestly facebook experience mine literally worst i just watch sort short video ill going open tiktok,0
good,0
stupid app,0
abhishek,0
pooja devi facebook,0
harmfull,0
cant showing profile lock setting,0
apps,0
bad facebook giving permission upload video khadim hussain rizvi thats it experience very worst me,0
gd,0
معفن,0
cannot attain friend application defective zuckerberg disappointment immeasurable life ruined,0
aa,0
eats lot storage my mobile,0
account not open plese solv problem,0
good,0
good all exteme violation 1st amendment federal privacy law illegal activites way way much advertising massive spam annoying af,0
