content_final,score
thanks,0
good game,0
is super game,0
fing game,0
good morning baby girl ,0
nice game,0
good,0
is very bad game the graphic design very bad thumbsdown neutralface facewithsymbolsonmouth poutingface yawningface frowningface facevomiting sneezingface upsidedownface ,0
jahan,0
ill give 1 star my game isnt downloading saying see common way fix problem send feedback i sent feedback you please fix problem thanks,0
goodgame,0
juu,0
worst game,0
good game temple run,0
yes am,0
tample run a best runner game,0
is worst app dont play,0
jackoredo,0
samiul,0
a good game,0
is fun,0
dont download app cant control ,0
great okhand okhand okhand okhand ,0
die ask watch ad continue even you press no it will show you ad going home page,0
yes like fac,0
ut,0
good,0
nice game temple run smilingfacewithsmilingeyes smilingfacewithsmilingeyes ,0
bad game game full adwataismants idont link,0
 thumbsup fun game,0
is favorite game since wa little far child,0
adventure game,0
is amazing opportunity play game,0
love game,0
interested,0
is i know that i must always protect,0
mashallah,0
good,0
super game supiri,0
 poutingface poutingface poutingface ,0
nice,0
worst game ever,0
bahut jyda bakwas game h,0
last time i play game wa like i love slide rope go hot air balloon etc please include again,0
nice game ogre ,0
se,0
slowly working,0
like but phone not dowandling saying massager delete something,0
 beamingfacewithsmilingeyes beamingfacewithsmilingeyes grinningface grinningface ,0
good game old game,0
feevref,0
gulam mustufa free fire seaacha game hai la kindsab karafailed hai kifree fire aachahai free fire ka download 100mhai liking templerunka500m,0
bad,0
dharshika,0
bad,0
good,0
g game very amazing i love game i hate,0
bidbieheurh,0
yah game bahut acchi hai aur ismein bahut aasan level hai aur game ko karen aur khele,0
you press watch add still loading ad,0
free download,0
fantastic game,0
game very nice,0
send,0
game serve a useful game my siblingsthey also loved wish could play game,0
tikemani tikemani,0
game suck is flowed ad reckemende playing second one,0
bal er game,0
game boring much,0
nice game,0
nethusha,0
cool game it be like running forever next game must add like fun like exploring a cave something it fun,0
bhavya,0
nice,0
bad,0
pls want one dat will b rope d begining,0
must game batter free fire pubg mere bat koi bhai gussa bhi honge mai bhi phle free fire khelta tha,0
dont want give star it boring,0
janvi,0
a intresting game,0
ashish,0
take long download,0
h,0
vuvivibb,0
so nice game,0
glowing poop,0
game,0
bakvas game ever seen game my life,0
unfortunately data lost have character fully updated ability 300 wing app pooooooooooooooop,0
hi jani,0
bad,0
best running game,0
intrested,0
nice,0
wweeeeee,0
wow,0
nandanikumari,0
le run,0
please want temple run please help please please ,0
very buttifulk,0
hug fgjbx ghar fjord ghar ymjf,0
,0
waste time,0
high,0
lol sala bosahfh,0
vary good game smilingface grinningfacewithbigeyes winkingfacewithtongue beamingfacewithsmilingeyes ,0
game my favorite redheart redheart ,0
templerun,0
vhk,0
tattu,0
boring game,0
really good game app wiswash kijiyai download kar lo,0
bad,0
bad game,0
dont like game so log,0
bad bad bad,0
game good is fantastic game,0
op,0
good game,0
hate game,0
game so cool amazing also have great time this game,0
op game,0
bad experience,0
many ad this app i uninstalled,0
wow nice game,0
froud fake game very poor,0
disgusting ad appear every match thumbsdown lightskintone ,0
arham,0
best enjoyed game,0
nice game love easy game,0
like game it better another game,0
waste,0
graphic look bad before didnt expect ,0
game awesome good,0
merci grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat,0
 rose starstruck starstruck starstruck ,0
best game,0
ebmlphn,0
op,0
johnmark,0
is tough,0
hey have great day the first one the first one a game,0
hate,0
bekar,0
samruddhi sparklingheart ,0
uolllll,0
ok,0
download game,0
wh,0
harsh singh,0
sgeye6suwieye,0
ff jaisa game banao bhai,0
jwjwjt kya,0
zoo,0
fast,0
nice game wat play ok,0
game too bad dont install,0
is nice game,0
 smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes ,0
somahrishlidas,0
good,0
op,0
loop game loop looped iiiiiiiiiaaaaaaaaaaaaaaaaaaaaaaaaaaawaaaaaaaaaa,0
good game,0
poor game videogame videogame videogame videogame videogame bullseye ,0
nice game 1 game loanch karoo yarr please please fast game aacha h wow buty full game yarr,0
bad,0
ok en392,0
is amazing,0
arjundjo1,0
wa good game these idiot ruined by adding ad,0
babar wj now good kd h jello help out this way around house my family my family first thing first first thing did to get the the first thing i,0
worst game,0
excellent,0
pubbg,0
 beamingfacewithsmilingeyes beamingfacewithsmilingeyes ,0
khan 786,0
bad game the main menu the game is so different pensiveface poutingface ,0
update krne k tym update nahi hora nah cancel hora,0
fun nice play your bored smilingfacewithsmilingeyes smilingfacewithsmilingeyes ,0
 grinningfacewithsmilingeyes grinningfacewithsmilingeyes grinningfacewithsmilingeyes grinningfacewithsmilingeyes grinningfacewithsmilingeyes ,0
est game,0
good,0
rt wa nice wa nice love so much,0
manjit,0
game good his graphic good,0
op game,0
zohaib,0
ranang fast time no open,0
rfhu,0
samreeh,0
free iventes,0
free fire lover,0
wow smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes ,0
patunmvirm postoffice postoffice ,0
cant star send one problem cant star send please next time game 2 mb okk i let go game sorry everbody ,0
mazza nhi aata hai,0
waste,0
good easy download,0
gahfjir,0
 slightlysmilingface slightlysmilingface smilingface smilingface smilingface ,0
s,0
ghatiya game,0
just love app,0
titrurifuf,0
love temple rum,0
20 mb karo beamingfacewithsmilingeyes beamingfacewithsmilingeyes grinningsquintingface ,0
very nyc game will play time my life really suggest to play game it a wonder game grafhic this game best,0
 cloud smilingfacewithsmilingeyes cloud cloud smilingfacewithsmilingeyes cloud beamingfacewithsmilingeyes cloud cloud smilingfacewithsmilingeyes cloud cloud smilingfacewithsmilingeyes cloud cloud cloud cloud smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes cloud smilingfacewithsmilingeyes cloud cloud smilingfacewithsmilingeyes cloud cloud smilingfacewithsmilingeyes cloud smilingfacewithsmilingeyes cloud cloud smilingfacewithsmilingeyes cloud cloud smilingfacewithsmilingeyes cloud smilingfacewithsmilingeyes cloud ,0
varey bad bad smilingfacewithhorns smilingfacewithhorns smilingfacewithhorns smilingfacewithhorns smilingfacewithhorns smilingfacewithhorns grinningsquintingface grinningsquintingface grinningfacewithsweat grinningfacewithsmilingeyes grinningfacewithbigeyes facewithtearsofjoy beamingfacewithsmilingeyes beamingfacewithsmilingeyes grinningface grinningface grinningface grinningface grinningface grinningface grinningface grinningface ,0
game realy great game is my life like game,0
 thumbsup ,0
super,0
namratha,0
 angryfacewithhorns angryfacewithhorns smilingfacewithhorns smilingfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns angryfacewithhorns ,0
thank very much,0
not same when i used play,0
monmon,0
bad game,0
jovelyn palicte,0
i deleted many app this stupid,0
is nice game videogame videogame love smilingfacewithhearteyes smilingfacewithhearteyes ,0
game cheat facewithsymbolsonmouth facewithsymbolsonmouth facewithsymbolsonmouth facewithsteamfromnose facewithsteamfromnose ,0
bad,0
worst game,0
shubham yadav,0
oo,0
boring game always like turned left it turing front never play game ever,0
good pad game,0
fudgyfh gufhufjit,0
good,0
nice thumbsup ,0
good,0
how cool,0
dgd,0
like,0
fr,0
tlotlo lethabo marang banantwa,0
nice game,0
fun,0
wonderful game like game game very amazing i be the future,0
bhaska have question,0
game cool,0
bad game,0
used have issue the ad now is ad the bottom the screen the choice watch ad continue doesnt matter it force into one there need that,0
 smilingface winkingface winkingface winkingface winkingface winkingface kissingfacewithsmilingeyes kissingfacewithsmilingeyes kissingfacewithsmilingeyes winkingface winkingface kissingfacewithsmilingeyes ,0
super adipoli,0
lul hai,0
good,0
,0
poonum,0
ratethisapp,0
ggg,0
nice,0
 smilingfacewithsmilingeyes cryingface ,0
time pas,0
nice,0
name aradhaya love game game no end is become boaring 2 time is inform that tomorrow the child wont delete game sister like game much i dont like this game ,0
goor,0
love tempe run it keep busy day faceblowingakiss faceblowingakiss ,0
manjushadrvi nitish gfgdfj nkv,0
wa nice update now ,0
game,0
hillll,0
ren end,0
bad,0
run faster,0
g zoo kzyc,0
op game world bast game,0
poor poutingface poutingface ,0
is hang,0
dick game the worst baby do better i turn nothing work everything said sh,0
app great sparklingheart sparklingheart ,0
nadithi happy birthday sudu happy,0
im good game game happens fast i what play this game observing this game world best world the nature final year project,0
bad disappointedface disappointedface ,0
ft cv hi,0
hy friend huggingface huggingface huggingface huggingface huggingface huggingface huggingface huggingface ,0
ha problem poutingface ,0
glichy need to fix,0
is much fun,0
love d,0
girum sonic bluey,0
is wonderful game,0
appne game ka 47 mb likha parantu hai 4713 mb,0
bad,0
acha nahi h,0
sweet,0
hi play store,0
basantsah,0
nice game,0
vest geme,0
looser game not liked,0
bad,0
jzvdjd sidbsksjbdnsknsdndkbdkdjdbdodjdbdojd fkdkdnd body karna acchi baat bacche acche se pila pila kiya kar,0
is boring ideat game,0
bad game,0
aryan,0
nice,0
dont,0
 grinningsquintingface ,0
very bad game confusedface confusedface disappointedface disappointedface ,0
favrate game,0
is online feature sad see,0
 smilingfacewithsunglasses blueheart blueheart blueheart ,0
bad,0
hii jg n,0
a good game run my life your life request please download i like much,0
game poor run poor,0
kuti dangar game x cool,0
amejin,0
is nice game,0
watch ad continue selects forced 30 ad anyway,0
experience,0
a1,0
good nightwithstars baby girl ,0
supper,0
jutt g,0
interested game bakwas,0
bot,0
is best the previous year temple run,0
nice game,0
prince kumar,0
bad,0
nice,0
wa amazing game,0
too good,0
wa good,0
good,0
really enjoy,0
pravin,0
only person,0
like game much is good game please install game,0
thats good game,0
thank you,0
1one facesavoringfood rollingonthefloorlaughing ,0
tmi ah imam,0
game temple run 20,0
nice game,0
fevariet,0
pankaja,0
best,0
only gave one star right your aloud chose one to you still to watch addand get anyyoing,0
poorrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,0
game not really good when downloaded is many fault game,0
many ad,0
waw,0
sub youd suususususshbxn b v ew,0
ccucvg,0
yeh ek number game hai timepass ke liye maja bhi aata kelne,0
ok thumbsup ,0
beutiful,0
aditya roy,0
nice smilingfacewithhearteyes smilingfacewithhearteyes ,0
game very complicated this game boar,0
game so good beamingfacewithsmilingeyes beamingfacewithsmilingeyes ,0
nice,0
good,0
nice,0
great game really enjoying then far many ad totally spoilt for one star and uninstalled if like ad youll love,0
well dont like game cause like 4 used play coin different more realistic now kinda laging every time and everything i dont like every time die i tell ad i click and it give the ad even tho clicked no please fix,0
yufu,0
devasury apr,0
nyc game videogame raisinghands okhand ,0
11 06 2022,0
noob game,0
opop,0
game super like,0
katti,0
used love game downloaded for old time sake it full add isnt worth playing unfortunately pensiveface ,0
super,0
fresh game,0
bad game slow because it mobile wa hanged,0
dont like,0
stupid game,0
haryanvi,0
 nauseatedface facevomiting ,0
bad,0
b thanks,0
super busy work i be and near future reference number not valid you,0
